2025-02-21 00:56:11.2701|14|INFO|Microsoft.Hosting.Lifetime |url: |action:  |Now listening on: https://localhost:7006
2025-02-21 00:56:11.3157|14|INFO|Microsoft.Hosting.Lifetime |url: |action:  |Now listening on: http://localhost:5259
2025-02-21 00:56:11.4430|0|INFO|Microsoft.Hosting.Lifetime |url: |action:  |Application started. Press Ctrl+C to shut down.
2025-02-21 00:56:11.4430|0|INFO|Microsoft.Hosting.Lifetime |url: |action:  |Hosting environment: Development
2025-02-21 00:56:11.4430|0|INFO|Microsoft.Hosting.Lifetime |url: |action:  |Content root path: D:\Own Projects\Fido2Apis\Fido2Apis
2025-02-21 00:59:36.3361|14|INFO|Microsoft.Hosting.Lifetime |url: |action:  |Now listening on: https://localhost:7006
2025-02-21 00:59:36.3607|14|INFO|Microsoft.Hosting.Lifetime |url: |action:  |Now listening on: http://localhost:5259
2025-02-21 00:59:36.4341|0|INFO|Microsoft.Hosting.Lifetime |url: |action:  |Application started. Press Ctrl+C to shut down.
2025-02-21 00:59:36.4341|0|INFO|Microsoft.Hosting.Lifetime |url: |action:  |Hosting environment: Development
2025-02-21 00:59:36.4341|0|INFO|Microsoft.Hosting.Lifetime |url: |action:  |Content root path: D:\Own Projects\Fido2Apis\Fido2Apis
